City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
530,Tonantins,-2.8731,-67.8022,81.05,88,97,4.27,BR,2022-02-03 18:59:15
531,Lodwar,3.1191,35.5973,89.2,29,100,1.7,KE,2022-02-03 18:59:16
532,Maarianhamina,60.0973,19.9348,19.26,93,20,2.3,AX,2022-02-03 18:59:17
533,Sidi Ali,36.0998,0.4206,55.81,59,100,4.25,DZ,2022-02-03 18:59:17
534,Dalby,-27.1833,151.2667,64.98,96,76,1.01,AU,2022-02-03 18:59:18
535,Garmsar,35.2182,52.3409,48.09,41,100,3.8,IR,2022-02-03 18:59:18
536,Nouakchott,18.0858,-15.9785,89.53,21,0,11.61,MR,2022-02-03 18:59:19
537,Shwebo,22.5667,95.7,59.49,57,0,4.97,MM,2022-02-03 18:59:19
538,Bellwood,41.8814,-87.8831,23.92,80,100,4.0,US,2022-02-03 18:59:20
539,Jian,27.1172,114.9793,39.31,88,100,4.83,CN,2022-02-03 18:59:20
540,Gimli,50.6336,-96.9907,-6.88,64,100,12.66,CA,2022-02-03 18:57:10
541,Vizinga,61.0749,50.1031,8.19,99,85,3.76,RU,2022-02-03 18:59:21
542,Meulaboh,4.1363,96.1285,75.81,86,97,4.12,ID,2022-02-03 18:59:22
543,Palencia,42.4167,-4.5,50.79,64,100,4.5,ES,2022-02-03 18:59:22
544,Marawi,7.9986,124.2928,66.65,92,94,0.87,PH,2022-02-03 18:59:23
545,Cairns,-16.9167,145.7667,78.75,91,100,2.3,AU,2022-02-03 18:59:23
546,Anadyr,64.75,177.4833,12.7,62,100,35.79,RU,2022-02-03 18:59:24
547,Haines Junction,60.7522,-137.5108,-7.65,71,100,0.0,CA,2022-02-03 18:59:24
548,Alta Floresta,-9.8756,-56.0861,89.42,58,40,4.61,BR,2022-02-03 18:59:25
549,Yangjiang,21.85,111.9667,54.95,86,100,7.85,CN,2022-02-03 18:55:56
